objectid,filename,parentid,title,creator,date,description,ingredients,subject,source,identifier,type,format,language,rights,rightsstatement
coll001,rec1.jpg,,Angel Cookies,"Harris, Jean",,Handwritten cookie recipe in pencil on 3 by 5 inch index card,butter; egg; cream of tartar; shortening; vanilla; salt; sugar; flour; nuts; soda,cookies; baking; desserts,"Box 1, Harris Recipe Collection",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,rec2.jpg,,Applesauce Cake,"Harris, Jean",,Typed cake recipe on 3 by 5 inch index card,butter; flour; nuts; sugar; soda; raisins; egg; applesauce; cinnamon,cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,rec3.jpg,,Barbecue,"Harris, Jean",,Handwritten recipe in blue pen from Neva Greenwald on a 3 by 5 index card,pork; beef; onion; celery; water; catsup; vinegar; sugar; flour,barbecue; meats; cooking,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,rec4.jpg,,Banana Cake,Unknown,,"Handwritten recipe in blue pen on upside down Morgan Supply Company, Inc. letterhead",shortening; sugar; egg; flour; baking powder; soda; salt; banana; buttermilk; nuts,cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,multiple,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,rec5.jpg,,Bobbies' Casserole,"Harris, Jean",,Handwritten recipe in blue pen from Bobbie Proctor on scrap paper ,crescent rolls; sausage; onion; green pepper; mushrooms; egg; salt; pepper; oregano; cheese ,casserole; baking; breakfast,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,rec6.jpg,,Cherry Chocolate Ice Cream,"Harris, Jean",,"Handwritten recipe in blue pen from Better Homes & Gardens magazine, written on scrap paper",egg; milk; whipping cream; sugar; cherry syrup; maraschino cherries; milk chocolate; vanilla,ice cream; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,rec7.jpg,,Chili,Unknown,,Handwritten recipe in black pen on a 3 by 5 inch index card,bacon; kidney beans; hamburger; garlic; salt; sugar; catsup; tomato puree; onion; chili powder,chili; cooking; stews,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,rec8.jpg,,Cottage Cheese Salad,"Harris, Jean",,Handwritten recipe in blue pen on a 3 by 5 index card,lime jello; cottage cheese; pineapple; cool whip; maraschino cherries,salad; cooking,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,rec9.jpg,,Hermits,"Harris, Jean",,Handwritten recipe in pencil on 3 by 5 inch index card,butter; flour; nutmeg; sugar; nuts; vanilla; egg; dates; raisins; water; cinnamon,cookies; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,,,Knadel & Sour Gravy,"Bierl, Theresia",,Handwritten recipe in blue pen on A4 paper,bread; potato; egg; salt; milk; water; flour; chicken; stew meat; rabbit; broth; vinegar; pepper; cream of mushroom; mushrooms; cornstarch,dumplings; cooking,"Box 1, Harris Recipe Collection",,Image;StillImage,multiple,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
